time_s	DispT_m
1.365500000000000114e+01	1.705958302726348283e-02
1.366000000000000014e+01	1.746327746176717932e-02
1.366500000000000092e+01	1.774907883132732095e-02
1.366999999999999993e+01	1.800987258105095010e-02
1.367500000000000071e+01	1.837069681012062916e-02
1.367999999999999972e+01	1.889228430956788746e-02
1.368500000000000050e+01	1.951390228836119567e-02
1.368999999999999950e+01	2.008550502748147545e-02
1.369500000000000028e+01	2.054278721877770067e-02
1.370000000000000107e+01	2.091432899920588756e-02
1.370500000000000007e+01	2.130373336523157593e-02
1.371000000000000085e+01	2.178245065924481333e-02
1.371499999999999986e+01	2.232190074428958004e-02
1.372000000000000064e+01	2.285063327797584240e-02
1.372499999999999964e+01	2.331506050351107168e-02
1.373000000000000043e+01	2.375090759209028471e-02
1.373499999999999943e+01	2.423319740322302240e-02
1.374000000000000021e+01	2.478693755674579724e-02
1.374500000000000099e+01	2.535139526162707643e-02
1.375000000000000000e+01	2.584440262411832195e-02
1.375500000000000078e+01	2.621594440454650191e-02
1.375999999999999979e+01	2.653747094530166037e-02
1.376500000000000057e+01	2.690544020861034349e-02
1.376999999999999957e+01	2.734128729718955653e-02
1.377500000000000036e+01	2.781285955696378986e-02
1.378000000000000114e+01	2.824156161130400577e-02
1.378500000000000014e+01	2.860595835749318513e-02
1.379000000000000092e+01	2.894177496672634825e-02
1.379499999999999993e+01	2.930617171291552761e-02
1.380000000000000071e+01	2.969200356182171915e-02
1.380499999999999972e+01	3.005282779089139475e-02
1.381000000000000050e+01	3.034934671181004420e-02
1.381499999999999950e+01	3.058513284169716087e-02
1.382000000000000028e+01	3.083878155718178596e-02
1.382500000000000107e+01	3.115316306369794036e-02
1.383000000000000007e+01	3.150326974140911507e-02
1.383500000000000085e+01	3.182122376504477324e-02
1.383999999999999986e+01	3.207487248052939138e-02
1.384500000000000064e+01	3.231065861041650805e-02
1.384999999999999964e+01	3.261075004845466474e-02
1.385500000000000043e+01	3.301801700007786500e-02
1.385999999999999943e+01	3.350387932833009952e-02
1.386500000000000021e+01	3.398974165658234098e-02
1.387000000000000099e+01	3.444702384787856619e-02
1.387500000000000000e+01	3.489358848781629052e-02
1.388000000000000078e+01	3.539016836742703287e-02
1.388499999999999979e+01	3.592247341823279899e-02
1.389000000000000057e+01	3.641548078072404104e-02
1.389499999999999957e+01	3.677987752691321693e-02
1.390000000000000036e+01	3.706210637935385827e-02
1.390500000000000114e+01	3.736219781739200801e-02
1.391000000000000014e+01	3.780161742309072481e-02
1.391500000000000092e+01	3.836607512797200054e-02
1.391999999999999993e+01	3.893767786709228379e-02
1.392500000000000071e+01	3.942711271246402555e-02
1.392999999999999972e+01	3.984152469832623333e-02
1.393500000000000050e+01	4.030952444098095944e-02
1.393999999999999950e+01	4.094185997113277548e-02
1.394500000000000028e+01	4.170280611758665074e-02
1.395000000000000107e+01	4.244231716132351728e-02
1.395500000000000007e+01	4.301034738332429330e-02
1.396000000000000085e+01	4.342475936918649415e-02
