Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
5.641026	0.555989			
5.705128	0.546128			
5.769231	0.534587			
5.833333	0.528899			
5.897436	0.519408			
5.961538	0.510029			
6.025641	0.501132			
6.089744	0.493323			
6.153846	0.484281			
6.217949	0.477346			
6.282051	0.471149			
6.346154	0.463894			
6.410256	0.455002			
6.474359	0.448404			
6.538462	0.441377			
6.602564	0.433273			
6.666667	0.425272			
6.730769	0.421169			
6.794872	0.4147			
6.858974	0.407445			
6.923077	0.399783			
6.987179	0.395979			
7.051282	0.388382			
7.115385	0.382426			
7.179487	0.375794			
7.24359	0.370805			
7.307692	0.364587			
7.371795	0.359219			
7.435897	0.354134			
7.5	0.349237			
7.564103	0.343775			
7.628205	0.337089			
7.692308	0.332829			
7.75641	0.328142			
7.820513	0.322883			
7.884615	0.317649			
7.948718	0.313379			
8.012821	0.308128			
8.076923	0.304132			
8.141026	0.299498			
8.205128	0.295595			
8.269231	0.290657			
8.333333	0.286894			
8.397436	0.283567			
8.461538	0.279133			
8.525641	0.274009			
8.589744	0.270924			
8.653846	0.267271			
8.717949	0.263753			
8.782051	0.259668			
8.846154	0.256287			
8.910256	0.252467			
8.974359	0.249016			
9.038462	0.245766			
9.102564	0.241713			
9.166667	0.239111			
9.230769	0.235843			
9.294872	0.232645			
9.358974	0.229907			
9.423077	0.226703			
9.487179	0.223693			
9.551282	0.220746			
9.615385	0.217799			
9.679487	0.215077			
9.74359	0.212384			
9.807692	0.209967			
9.871795	0.206949			
9.935897	0.203989			
10	0.201674			
10.064103	0.199109			
10.128205	0.19677			
10.192308	0.194889			
10.25641	0.191631			
10.320513	0.189214			
10.384615	0.187255			
10.448718	0.185105			
10.512821	0.182693			
10.576923	0.180568			
10.641026	0.178711			
10.705128	0.176538			
10.769231	0.174024			
10.833333	0.172046			
10.897436	0.169947			
10.961538	0.168226			
11.025641	0.166216			
11.089744	0.164294			
11.153846	0.162613			
11.217949	0.160531			
11.282051	0.1587			
11.346154	0.157092			
11.410256	0.155266			
11.474359	0.153213			
11.538462	0.151817			
11.602564	0.150152			
11.666667	0.148214			
11.730769	0.146744			
11.794872	0.145259			
11.858974	0.143687			
11.923077	0.142153			
11.987179	0.140731			
12.051282	0.139213			
12.115385	0.137485			
12.179487	0.135987			
12.24359	0.134728			
12.307692	0.133364			
12.371795	0.131802			
12.435897	0.130584			
12.5	0.129191			
12.564103	0.12795			
12.628205	0.126405			
12.692308	0.125423			
12.75641	0.123871			
12.820513	0.122635			
12.884615	0.1215			
12.948718	0.120157			
13.012821	0.119375			
13.076923	0.117757			
13.141026	0.116635			
13.205128	0.11535			
13.269231	0.114428			
13.333333	0.113338			
13.397436	0.112236			
13.461538	0.111198			
13.525641	0.110062			
13.589744	0.109171			
13.653846	0.107941			
13.717949	0.106986			
13.782051	0.105997			
13.846154	0.104969			
13.910256	0.103793			
13.974359	0.103016			
14.038462	0.102027			
14.102564	0.101097			
14.166667	0.100076			
14.230769	0.0991792			
14.294872	0.0983229			
14.358974	0.0974017			
14.423077	0.0964709			
14.487179	0.0956159			
14.551282	0.0948955			
14.615385	0.09388			
14.679487	0.0931848			
14.74359	0.0922836			
14.807692	0.0915202			
14.871795	0.0906948			
14.935897	0.089792			
15	0.0891597			
