Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
29.615385	0.0196311			
29.679487	0.0195353			
29.74359	0.0194224			
29.807692	0.0193163			
29.871795	0.0192478			
29.935897	0.0191385			
30	0.0190369			
30.064103	0.0189283			
30.128205	0.0188523			
30.192308	0.0187717			
30.25641	0.0186597			
30.320513	0.0185775			
30.384615	0.0184682			
30.448718	0.0183719			
30.512821	0.018286			
30.576923	0.0181997			
30.641026	0.0181046			
30.705128	0.0180093			
30.769231	0.0179334			
30.833333	0.0178483			
30.897436	0.0177504			
30.961538	0.0176594			
31.025641	0.0175786			
31.089744	0.0174863			
31.153846	0.0174006			
31.217949	0.0173405			
31.282051	0.0172444			
31.346154	0.0171426			
31.410256	0.0170687			
31.474359	0.0169818			
31.538462	0.0169067			
31.602564	0.0168254			
31.666667	0.0167422			
31.730769	0.0166536			
31.794872	0.0165645			
31.858974	0.0164992			
31.923077	0.0164201			
31.987179	0.0163297			
32.051282	0.0162566			
32.115385	0.0161796			
32.179487	0.0161059			
32.24359	0.0160412			
32.307692	0.0159424			
32.371795	0.0158702			
32.435897	0.0158114			
32.5	0.0157212			
32.564103	0.0156581			
32.628205	0.0155751			
32.692308	0.0154797			
32.75641	0.015425			
32.820513	0.0153526			
32.884615	0.0152742			
32.948718	0.015212			
33.012821	0.015147			
33.076923	0.0150773			
33.141026	0.0149872			
33.205128	0.0149253			
33.269231	0.0148636			
33.333333	0.0147717			
33.397436	0.0147313			
33.461538	0.0146347			
33.525641	0.0145725			
33.589744	0.0145201			
33.653846	0.0144383			
33.717949	0.0143776			
33.782051	0.0143055			
33.846154	0.0142368			
33.910256	0.0141796			
33.974359	0.0141024			
34.038462	0.0140442			
34.102564	0.0139893			
34.166667	0.0139265			
34.230769	0.0138457			
34.294872	0.0137823			
34.358974	0.0137303			
34.423077	0.0136481			
34.487179	0.0136026			
34.551282	0.0135544			
34.615385	0.0134767			
34.679487	0.013399			
34.74359	0.013357			
34.807692	0.0132954			
34.871795	0.0132294			
34.935897	0.0131648			
35	0.0131099			
35.064103	0.0130561			
35.128205	0.012992			
35.192308	0.0129305			
35.25641	0.0128768			
35.320513	0.0128176			
35.384615	0.0127644			
35.448718	0.0126881			
35.512821	0.0126433			
35.576923	0.0125868			
35.641026	0.0125323			
35.705128	0.0124722			
35.769231	0.0124294			
35.833333	0.0123571			
35.897436	0.0123148			
35.961538	0.0122473			
36.025641	0.0122054			
36.089744	0.0121354			
36.153846	0.012086			
36.217949	0.0120451			
36.282051	0.0119858			
36.346154	0.0119264			
36.410256	0.0118816			
36.474359	0.0118168			
36.538462	0.0117737			
36.602564	0.0117267			
36.666667	0.0116679			
36.730769	0.0116179			
36.794872	0.011568			
36.858974	0.0115065			
36.923077	0.0114724			
36.987179	0.0114101			
37.051282	0.0113664			
37.115385	0.0113155			
