time    PosT    PosL    PosV    accT    accL    accV
0.795    0.00295    0.00000    0.00000    -2.09966    0.00000    0.00000
0.800    0.00283    0.00000    0.00000    -1.67992    0.00000    0.00000
0.805    0.00267    0.00000    0.00000    -1.12799    0.00000    0.00000
0.810    0.00248    0.00000    0.00000    0.20798    0.00000    0.00000
0.815    0.00230    0.00000    0.00000    -1.43120    0.00000    0.00000
0.820    0.00208    0.00000    0.00000    -1.67386    0.00000    0.00000
0.825    0.00182    0.00000    0.00000    -2.24139    0.00000    0.00000
0.830    0.00151    0.00000    0.00000    -2.07803    0.00000    0.00000
0.835    0.00114    0.00000    0.00000    -0.73799    0.00000    0.00000
0.840    0.00076    0.00000    0.00000    -1.97777    0.00000    0.00000
0.845    0.00032    0.00000    0.00000    -2.91829    0.00000    0.00000
0.850    -0.00019    0.00000    0.00000    -0.37283    0.00000    0.00000
0.855    -0.00071    0.00000    0.00000    2.52150    0.00000    0.00000
0.860    -0.00116    0.00000    0.00000    3.35880    0.00000    0.00000
0.865    -0.00153    0.00000    0.00000    2.63312    0.00000    0.00000
0.870    -0.00183    0.00000    0.00000    1.32910    0.00000    0.00000
0.875    -0.00211    0.00000    0.00000    0.54734    0.00000    0.00000
0.880    -0.00236    0.00000    0.00000    2.75331    0.00000    0.00000
0.885    -0.00255    0.00000    0.00000    3.03094    0.00000    0.00000
0.890    -0.00267    0.00000    0.00000    1.87374    0.00000    0.00000
0.895    -0.00273    0.00000    0.00000    2.30505    0.00000    0.00000
0.900    -0.00274    0.00000    0.00000    1.49037    0.00000    0.00000
0.905    -0.00271    0.00000    0.00000    0.37018    0.00000    0.00000
0.910    -0.00267    0.00000    0.00000    -0.68865    0.00000    0.00000
0.915    -0.00265    0.00000    0.00000    0.20676    0.00000    0.00000
0.920    -0.00263    0.00000    0.00000    2.73045    0.00000    0.00000
0.925    -0.00253    0.00000    0.00000    3.58565    0.00000    0.00000
0.930    -0.00235    0.00000    0.00000    4.43612    0.00000    0.00000
0.935    -0.00206    0.00000    0.00000    3.13179    0.00000    0.00000
0.940    -0.00168    0.00000    0.00000    2.53742    0.00000    0.00000
0.945    -0.00125    0.00000    0.00000    0.27861    0.00000    0.00000
0.950    -0.00080    0.00000    0.00000    -3.15664    0.00000    0.00000
0.955    -0.00044    0.00000    0.00000    -1.60608    0.00000    0.00000
0.960    -0.00011    0.00000    0.00000    1.47960    0.00000    0.00000
0.965    0.00025    0.00000    0.00000    2.19110    0.00000    0.00000
0.970    0.00066    0.00000    0.00000    -0.11980    0.00000    0.00000
0.975    0.00108    0.00000    0.00000    -0.18215    0.00000    0.00000
0.980    0.00148    0.00000    0.00000    -2.01970    0.00000    0.00000
0.985    0.00184    0.00000    0.00000    -5.61005    0.00000    0.00000
0.990    0.00206    0.00000    0.00000    -6.63684    0.00000    0.00000
0.995    0.00211    0.00000    0.00000    -2.41132    0.00000    0.00000
1.000    0.00210    0.00000    0.00000    -0.15719    0.00000    0.00000
1.005    0.00209    0.00000    0.00000    0.34017    0.00000    0.00000
1.010    0.00209    0.00000    0.00000    -0.24090    0.00000    0.00000
1.015    0.00208    0.00000    0.00000    -1.92616    0.00000    0.00000
1.020    0.00202    0.00000    0.00000    -0.93553    0.00000    0.00000
1.025    0.00194    0.00000    0.00000    1.63809    0.00000    0.00000
1.030    0.00190    0.00000    0.00000    2.46417    0.00000    0.00000
1.035    0.00192    0.00000    0.00000    4.26695    0.00000    0.00000
1.040    0.00205    0.00000    0.00000    1.60133    0.00000    0.00000
1.045    0.00221    0.00000    0.00000    1.83736    0.00000    0.00000
1.050    0.00243    0.00000    0.00000    4.32508    0.00000    0.00000
1.055    0.00275    0.00000    0.00000    5.08912    0.00000    0.00000
1.060    0.00320    0.00000    0.00000    6.12209    0.00000    0.00000
1.065    0.00380    0.00000    0.00000    -0.07276    0.00000    0.00000
1.070    0.00440    0.00000    0.00000    -4.27692    0.00000    0.00000
1.075    0.00489    0.00000    0.00000    -0.72095    0.00000    0.00000
1.080    0.00537    0.00000    0.00000    1.29173    0.00000    0.00000
1.085    0.00588    0.00000    0.00000    -2.07399    0.00000    0.00000
1.090    0.00633    0.00000    0.00000    -3.65685    0.00000    0.00000
1.095    0.00670    0.00000    0.00000    -1.30718    0.00000    0.00000
1.100    0.00703    0.00000    0.00000    1.83125    0.00000    0.00000
1.105    0.00741    0.00000    0.00000    2.15092    0.00000    0.00000
1.110    0.00784    0.00000    0.00000    2.27251    0.00000    0.00000
1.115    0.00832    0.00000    0.00000    4.57260    0.00000    0.00000
1.120    0.00893    0.00000    0.00000    3.20670    0.00000    0.00000
1.125    0.00961    0.00000    0.00000    1.93414    0.00000    0.00000
1.130    0.01034    0.00000    0.00000    -0.53550    0.00000    0.00000
1.135    0.01106    0.00000    0.00000    -5.72418    0.00000    0.00000
1.140    0.01163    0.00000    0.00000    -4.54182    0.00000    0.00000
1.145    0.01209    0.00000    0.00000    -2.81406    0.00000    0.00000
1.150    0.01248    0.00000    0.00000    -7.06389    0.00000    0.00000
1.155    0.01270    0.00000    0.00000    -8.64049    0.00000    0.00000
1.160    0.01270    0.00000    0.00000    -4.85460    0.00000    0.00000
1.165    0.01257    0.00000    0.00000    0.61371    0.00000    0.00000
1.170    0.01246    0.00000    0.00000    2.18215    0.00000    0.00000
1.175    0.01241    0.00000    0.00000    2.39924    0.00000    0.00000
1.180    0.01242    0.00000    0.00000    -1.06054    0.00000    0.00000
1.185    0.01240    0.00000    0.00000    -7.22277    0.00000    0.00000
1.190    0.01220    0.00000    0.00000    -5.61312    0.00000    0.00000
1.195    0.01186    0.00000    0.00000    -3.84296    0.00000    0.00000
1.200    0.01142    0.00000    0.00000    -2.60819    0.00000    0.00000
1.205    0.01092    0.00000    0.00000    -0.88923    0.00000    0.00000
1.210    0.01039    0.00000    0.00000    0.55679    0.00000    0.00000
1.215    0.00988    0.00000    0.00000    2.97713    0.00000    0.00000
1.220    0.00944    0.00000    0.00000    4.98316    0.00000    0.00000
1.225    0.00913    0.00000    0.00000    6.54493    0.00000    0.00000
1.230    0.00898    0.00000    0.00000    6.99587    0.00000    0.00000
1.235    0.00901    0.00000    0.00000    5.18802    0.00000    0.00000
1.240    0.00917    0.00000    0.00000    7.06266    0.00000    0.00000
1.245    0.00950    0.00000    0.00000    8.58931    0.00000    0.00000
1.250    0.01005    0.00000    0.00000    5.65808    0.00000    0.00000
1.255    0.01074    0.00000    0.00000    3.98153    0.00000    0.00000
1.260    0.01153    0.00000    0.00000    0.94102    0.00000    0.00000
1.265    0.01234    0.00000    0.00000    -3.98499    0.00000    0.00000
1.270    0.01305    0.00000    0.00000    -4.19367    0.00000    0.00000
1.275    0.01366    0.00000    0.00000    -2.94564    0.00000    0.00000
1.280    0.01420    0.00000    0.00000    -6.12054    0.00000    0.00000
1.285    0.01458    0.00000    0.00000    -8.48230    0.00000    0.00000
1.290    0.01475    0.00000    0.00000    -8.61561    0.00000    0.00000
1.295    0.01470    0.00000    0.00000    -4.35446    0.00000    0.00000
1.300    0.01454    0.00000    0.00000    1.07688    0.00000    0.00000
1.305    0.01442    0.00000    0.00000    -1.66616    0.00000    0.00000
1.310    0.01425    0.00000    0.00000    -3.85577    0.00000    0.00000
1.315    0.01398    0.00000    0.00000    -3.38596    0.00000    0.00000
1.320    0.01363    0.00000    0.00000    -1.03268    0.00000    0.00000
1.325    0.01325    0.00000    0.00000    -3.84095    0.00000    0.00000
1.330    0.01278    0.00000    0.00000    -6.75818    0.00000    0.00000
1.335    0.01214    0.00000    0.00000    -5.14589    0.00000    0.00000
1.340    0.01137    0.00000    0.00000    0.50649    0.00000    0.00000
1.345    0.01061    0.00000    0.00000    0.65643    0.00000    0.00000
1.350    0.00987    0.00000    0.00000    0.90193    0.00000    0.00000
1.355    0.00915    0.00000    0.00000    0.83411    0.00000    0.00000
1.360    0.00845    0.00000    0.00000    4.53975    0.00000    0.00000
1.365    0.00787    0.00000    0.00000    9.13628    0.00000    0.00000
1.370    0.00751    0.00000    0.00000    6.89118    0.00000    0.00000
1.375    0.00733    0.00000    0.00000    4.08312    0.00000    0.00000
1.380    0.00725    0.00000    0.00000    -0.83520    0.00000    0.00000
1.385    0.00715    0.00000    0.00000    -1.10493    0.00000    0.00000
1.390    0.00702    0.00000    0.00000    2.82371    0.00000    0.00000
1.395    0.00696    0.00000    0.00000    3.84346    0.00000    0.00000
1.400    0.00699    0.00000    0.00000    3.50036    0.00000    0.00000
1.405    0.00712    0.00000    0.00000    -0.20870    0.00000    0.00000
1.410    0.00724    0.00000    0.00000    -2.10016    0.00000    0.00000
1.415    0.00730    0.00000    0.00000    -1.54717    0.00000    0.00000
1.420    0.00733    0.00000    0.00000    1.24758    0.00000    0.00000
1.425    0.00739    0.00000    0.00000    8.10670    0.00000    0.00000
1.430    0.00765    0.00000    0.00000    3.37854    0.00000    0.00000
1.435    0.00800    0.00000    0.00000    -0.41448    0.00000    0.00000
1.440    0.00833    0.00000    0.00000    2.70567    0.00000    0.00000
1.445    0.00874    0.00000    0.00000    -0.40586    0.00000    0.00000
1.450    0.00913    0.00000    0.00000    5.94112    0.00000    0.00000
1.455    0.00967    0.00000    0.00000    4.48012    0.00000    0.00000
1.460    0.01033    0.00000    0.00000    -5.66860    0.00000    0.00000
1.465    0.01084    0.00000    0.00000    -7.45811    0.00000    0.00000
1.470    0.01116    0.00000    0.00000    -3.55227    0.00000    0.00000
1.475    0.01140    0.00000    0.00000    3.03337    0.00000    0.00000
1.480    0.01171    0.00000    0.00000    -0.63300    0.00000    0.00000
1.485    0.01201    0.00000    0.00000    -7.26127    0.00000    0.00000
1.490    0.01213    0.00000    0.00000    -8.44754    0.00000    0.00000
1.495    0.01203    0.00000    0.00000    -4.72193    0.00000    0.00000
1.500    0.01182    0.00000    0.00000    -0.73896    0.00000    0.00000
1.505    0.01158    0.00000    0.00000    -0.82858    0.00000    0.00000
1.510    0.01133    0.00000    0.00000    -4.25676    0.00000    0.00000
1.515    0.01097    0.00000    0.00000    -8.56842    0.00000    0.00000
1.520    0.01040    0.00000    0.00000    -11.33519    0.00000    0.00000
1.525    0.00954    0.00000    0.00000    -5.80355    0.00000    0.00000
1.530    0.00854    0.00000    0.00000    -4.15733    0.00000    0.00000
1.535    0.00743    0.00000    0.00000    -4.95349    0.00000    0.00000
1.540    0.00620    0.00000    0.00000    -4.42906    0.00000    0.00000
1.545    0.00486    0.00000    0.00000    -2.66325    0.00000    0.00000
1.550    0.00345    0.00000    0.00000    -1.75833    0.00000    0.00000
1.555    0.00200    0.00000    0.00000    4.30384    0.00000    0.00000
1.560    0.00066    0.00000    0.00000    5.80238    0.00000    0.00000
1.565    -0.00054    0.00000    0.00000    9.14854    0.00000    0.00000
1.570    -0.00151    0.00000    0.00000    7.12169    0.00000    0.00000
1.575    -0.00230    0.00000    0.00000    6.56563    0.00000    0.00000
1.580    -0.00293    0.00000    0.00000    12.71598    0.00000    0.00000
1.585    -0.00324    0.00000    0.00000    14.56340    0.00000    0.00000
1.590    -0.00318    0.00000    0.00000    19.60649    0.00000    0.00000
1.595    -0.00264    0.00000    0.00000    12.31170    0.00000    0.00000
1.600    -0.00179    0.00000    0.00000    4.67313    0.00000    0.00000
1.605    -0.00082    0.00000    0.00000    1.81841    0.00000    0.00000
1.610    0.00020    0.00000    0.00000    4.84572    0.00000    0.00000
1.615    0.00133    0.00000    0.00000    7.02552    0.00000    0.00000
1.620    0.00264    0.00000    0.00000    7.49907    0.00000    0.00000
1.625    0.00414    0.00000    0.00000    14.01725    0.00000    0.00000
1.630    0.00599    0.00000    0.00000    10.83752    0.00000    0.00000
1.635    0.00811    0.00000    0.00000    1.20684    0.00000    0.00000
1.640    0.01026    0.00000    0.00000    -12.55190    0.00000    0.00000
1.645    0.01210    0.00000    0.00000    -10.54483    0.00000    0.00000
1.650    0.01367    0.00000    0.00000    -4.05093    0.00000    0.00000
1.655    0.01514    0.00000    0.00000    -4.15425    0.00000    0.00000
1.660    0.01651    0.00000    0.00000    -4.22974    0.00000    0.00000
1.665    0.01777    0.00000    0.00000    2.67393    0.00000    0.00000
1.670    0.01910    0.00000    0.00000    9.74039    0.00000    0.00000
1.675    0.02067    0.00000    0.00000    10.52627    0.00000    0.00000
1.680    0.02251    0.00000    0.00000    -2.33474    0.00000    0.00000
1.685    0.02429    0.00000    0.00000    -3.85186    0.00000    0.00000
1.690    0.02597    0.00000    0.00000    1.76595    0.00000    0.00000
1.695    0.02769    0.00000    0.00000    -1.47611    0.00000    0.00000
1.700    0.02938    0.00000    0.00000    -9.43307    0.00000    0.00000
1.705    0.03083    0.00000    0.00000    -17.93582    0.00000    0.00000
1.710    0.03184    0.00000    0.00000    -17.23506    0.00000    0.00000
1.715    0.03241    0.00000    0.00000    -13.50041    0.00000    0.00000
1.720    0.03264    0.00000    0.00000    -16.85254    0.00000    0.00000
1.725    0.03246    0.00000    0.00000    -11.92542    0.00000    0.00000
1.730    0.03197    0.00000    0.00000    -4.11283    0.00000    0.00000
1.735    0.03139    0.00000    0.00000    -4.18098    0.00000    0.00000
1.740    0.03070    0.00000    0.00000    -6.36989    0.00000    0.00000
1.745    0.02985    0.00000    0.00000    -0.38528    0.00000    0.00000
1.750    0.02899    0.00000    0.00000    3.28391    0.00000    0.00000
1.755    0.02821    0.00000    0.00000    0.66625    0.00000    0.00000
1.760    0.02745    0.00000    0.00000    9.60178    0.00000    0.00000
1.765    0.02692    0.00000    0.00000    2.90693    0.00000    0.00000
1.770    0.02648    0.00000    0.00000    -4.38413    0.00000    0.00000
1.775    0.02592    0.00000    0.00000    0.46571    0.00000    0.00000
1.780    0.02537    0.00000    0.00000    1.91296    0.00000    0.00000
1.785    0.02487    0.00000    0.00000    -1.08511    0.00000    0.00000
1.790    0.02435    0.00000    0.00000    -4.68043    0.00000    0.00000
1.795    0.02370    0.00000    0.00000    -6.96455    0.00000    0.00000
1.800    0.02289    0.00000    0.00000    0.77098    0.00000    0.00000
1.805    0.02209    0.00000    0.00000    -4.16331    0.00000    0.00000
1.810    0.02119    0.00000    0.00000    -2.62339    0.00000    0.00000
1.815    0.02022    0.00000    0.00000    -2.44215    0.00000    0.00000
1.820    0.01919    0.00000    0.00000    -7.23353    0.00000    0.00000
1.825    0.01798    0.00000    0.00000    2.09521    0.00000    0.00000
1.830    0.01682    0.00000    0.00000    5.46277    0.00000    0.00000
1.835    0.01580    0.00000    0.00000    9.44252    0.00000    0.00000
1.840    0.01502    0.00000    0.00000    8.30570    0.00000    0.00000
1.845    0.01444    0.00000    0.00000    12.85157    0.00000    0.00000
1.850    0.01419    0.00000    0.00000    14.14014    0.00000    0.00000
1.855    0.01429    0.00000    0.00000    1.15838    0.00000    0.00000
1.860    0.01441    0.00000    0.00000    -3.23618    0.00000    0.00000
1.865    0.01446    0.00000    0.00000    3.20217    0.00000    0.00000
1.870    0.01458    0.00000    0.00000    6.41840    0.00000    0.00000
1.875    0.01487    0.00000    0.00000    10.24805    0.00000    0.00000
1.880    0.01541    0.00000    0.00000    14.43705    0.00000    0.00000
1.885    0.01632    0.00000    0.00000    16.32253    0.00000    0.00000
1.890    0.01763    0.00000    0.00000    18.15722    0.00000    0.00000
1.895    0.01940    0.00000    0.00000    8.21482    0.00000    0.00000
1.900    0.02137    0.00000    0.00000    -6.29859    0.00000    0.00000
1.905    0.02318    0.00000    0.00000    -11.81377    0.00000    0.00000
1.910    0.02470    0.00000    0.00000    -14.28438    0.00000    0.00000
1.915    0.02586    0.00000    0.00000    -19.17220    0.00000    0.00000
1.920    0.02654    0.00000    0.00000    -23.34828    0.00000    0.00000
1.925    0.02664    0.00000    0.00000    -15.25588    0.00000    0.00000
1.930    0.02636    0.00000    0.00000    -16.32660    0.00000    0.00000
1.935    0.02567    0.00000    0.00000    -16.91539    0.00000    0.00000
1.940    0.02455    0.00000    0.00000    -15.51579    0.00000    0.00000
1.945    0.02305    0.00000    0.00000    -11.12821    0.00000    0.00000
1.950    0.02127    0.00000    0.00000    -13.48505    0.00000    0.00000
1.955    0.01915    0.00000    0.00000    -9.58601    0.00000    0.00000
1.960    0.01679    0.00000    0.00000    3.87301    0.00000    0.00000
1.965    0.01453    0.00000    0.00000    11.80607    0.00000    0.00000
1.970    0.01257    0.00000    0.00000    12.09269    0.00000    0.00000
1.975    0.01091    0.00000    0.00000    7.86180    0.00000    0.00000
1.980    0.00944    0.00000    0.00000    5.37523    0.00000    0.00000
1.985    0.00811    0.00000    0.00000    11.20803    0.00000    0.00000
1.990    0.00706    0.00000    0.00000    18.08075    0.00000    0.00000
1.995    0.00646    0.00000    0.00000    26.83898    0.00000    0.00000
2.000    0.00653    0.00000    0.00000    25.04737    0.00000    0.00000
2.005    0.00723    0.00000    0.00000    16.82932    0.00000    0.00000
2.010    0.00834    0.00000    0.00000    6.87149    0.00000    0.00000
